ホテルID,ホテル名,部屋番号,表示順,CTI連携キー,鍵開けURL,鍵開けCH番号
000000304,イエスタディ,61,10,5115061,,
000000304,イエスタディ,62,11,5115062,,
000000304,イエスタディ,63,12,5115063,,
000000304,イエスタディ,64,13,5115064,,
000000304,イエスタディ,65,14,5115065,,
000000304,イエスタディ,66,15,5115066,,
000000304,イエスタディ,67,16,5115067,,
000000304,イエスタディ,68,17,5115068,,
000000304,イエスタディ,69,18,5115069,,
000000304,イエスタディ,70,19,5115070,,
000000304,イエスタディ,71,20,5115071,,
000000304,イエスタディ,72,21,5115072,,
000000304,イエスタディ,73,22,5115073,,
000000304,イエスタディ,74,23,5115074,,
000000304,イエスタディ,75,24,5115075,,
000000304,イエスタディ,76,25,5115076,,
000000304,イエスタディ,77,26,5115077,,
000000304,イエスタディ,78,27,5115078,,
000000304,イエスタディ,79,28,5115079,,
000000304,イエスタディ,80,29,5115080,,
000000304,イエスタディ,廊下５５－５８,30,5115030,,
000000304,イエスタディ,廊下５１ー５４,31,5115031,,
000000304,イエスタディ,廊下７７ー８０,32,5115032,,
000000304,イエスタディ,廊下７４ー７６,33,5115033,,
000000304,イエスタディ,廊下５９ー６２,34,5115034,,
000000304,イエスタディ,廊下７０ー７３,35,5115035,,
000000304,イエスタディ,廊下６３ー６６,36,5115036,,
000000304,イエスタディ,パーキング６８ー６９,37,5115021,,
000000304,イエスタディ,パーキング６１ー６２,38,5115022,,
000000304,イエスタディ,パーキング７３,39,5115023,,
000000304,イエスタディ,パーキング５７ー５８,40,5115024,,
000000304,イエスタディ,パーキング７５ー７６,41,5115025,,
000000304,イエスタディ,パーキング５２ー５３,42,5115026,,
000000305,ファンタジアリゾート,201　E,1,3625201,,
000000305,ファンタジアリゾート,202　B,2,3625202,,
000000305,ファンタジアリゾート,203　C,3,3625203,,
000000305,ファンタジアリゾート,204　D,4,3625204,,
000000305,ファンタジアリゾート,205　C,5,3625205,,
000000305,ファンタジアリゾート,301　E,6,3625301,,
000000305,ファンタジアリゾート,302　F,7,3625302,,
000000305,ファンタジアリゾート,303　C,8,3625303,,
000000305,ファンタジアリゾート,304　B,9,3625304,,
000000305,ファンタジアリゾート,305　C,10,3625305,,
000000305,ファンタジアリゾート,306　D,11,3625306,,
000000305,ファンタジアリゾート,307　D,12,3625307,,
000000305,ファンタジアリゾート,401　E,13,3625401,,
000000305,ファンタジアリゾート,402　F,14,3625402,,
000000305,ファンタジアリゾート,403　C,15,3625403,,
000000305,ファンタジアリゾート,404　B,16,3625404,,
000000305,ファンタジアリゾート,405　C,17,3625405,,
000000305,ファンタジアリゾート,406　D,18,3625406,,
000000305,ファンタジアリゾート,407　D,19,3625407,,
000000305,ファンタジアリゾート,501　E,20,3625501,,
000000305,ファンタジアリゾート,502　F,21,3625502,,
000000305,ファンタジアリゾート,503　C,22,3625503,,
000000305,ファンタジアリゾート,504　B,23,3625504,,
000000305,ファンタジアリゾート,505　C,24,3625505,,
000000305,ファンタジアリゾート,506　D,25,3625506,,
000000305,ファンタジアリゾート,507　D,26,3625507,,
000000305,ファンタジアリゾート,601　A,27,3625601,,
000000305,ファンタジアリゾート,602　C,28,3625602,,
000000305,ファンタジアリゾート,603　B,29,3625603,,
000000305,ファンタジアリゾート,604　C,30,3625604,,
000000305,ファンタジアリゾート,605　A,31,3625605,,
000000305,ファンタジアリゾート,701,32,3625701,,
000000305,ファンタジアリゾート,702,33,3625702,,
000000305,ファンタジアリゾート,703,34,3625703,,
000000305,ファンタジアリゾート,704,35,3625704,,
000000305,ファンタジアリゾート,精算機,36,3625120,,
000000305,ファンタジアリゾート,メニュー前,37,3625101,,
000000305,ファンタジアリゾート,カウンター,38,3625108,,
000000305,ファンタジアリゾート,操作台,39,3625222,,
000000306,ホテル１．１０．１,10,1,3635110,,
000000306,ホテル１．１０．１,20,2,3635120,,
000000306,ホテル１．１０．１,21,3,3635121,,
000000306,ホテル１．１０．１,22,4,3635122,,
000000306,ホテル１．１０．１,23,5,3635123,,
000000306,ホテル１．１０．１,24,6,3635124,,
000000306,ホテル１．１０．１,25,7,3635125,,
000000306,ホテル１．１０．１,26,8,3635126,,
000000306,ホテル１．１０．１,27,9,3635127,,
000000306,ホテル１．１０．１,28,10,3635128,,
000000306,ホテル１．１０．１,30,11,3635130,,
000000306,ホテル１．１０．１,31,12,3635131,,
000000306,ホテル１．１０．１,32,13,3635132,,
000000306,ホテル１．１０．１,33,14,3635133,,
000000306,ホテル１．１０．１,34,15,3635134,,
000000306,ホテル１．１０．１,35,16,3635135,,
000000306,ホテル１．１０．１,36,17,3635136,,
000000306,ホテル１．１０．１,37,18,3635137,,
000000306,ホテル１．１０．１,38,19,3635138,,
000000306,ホテル１．１０．１,40,20,3635140,,
000000306,ホテル１．１０．１,41,21,3635141,,
000000306,ホテル１．１０．１,42,22,3635142,,
000000306,ホテル１．１０．１,43,23,3635143,,
000000306,ホテル１．１０．１,44,24,3635144,,
000000306,ホテル１．１０．１,45,25,3635145,,
000000306,ホテル１．１０．１,46,26,3635146,,
000000306,ホテル１．１０．１,47,27,3635147,,
000000306,ホテル１．１０．１,48,28,3635148,,
000000306,ホテル１．１０．１,50,29,3635150,,
000000306,ホテル１．１０．１,51,30,3635151,,
